,企業名,キャッチコピー,ステータス,初年度年収
35,富士通株式会社,【システムエンジニア】ITコンサル、PM、先端技術(AI、IoT等) 正社員,正社員,
36,株式会社バイタリフィ | 「富士通」「サイバーエージェント」など、大手企業と直取引多数,【Webディレクター】☆月給34万円～☆年休136日以上☆リモート可 正社員,正社員,450万円～800万円
37,株式会社大崎コンピュータエンヂニアリング | 創業60年超の老舗企業 ◆完全週休2日 ◆土日祝休み ◆年休120日,パッケージソフトの【SE】※官公庁案件が7割 ※完全週休2日制 正社員,正社員,300万円～500万円
38,株式会社大崎コンピュータエンヂニアリング | 創業60年超の老舗企業◆完全週休2日◆土日祝休み◆年休120日,官公庁7割☆直請ほぼ100％【インフラエンジニア】未経験OK 正社員,正社員,300万円～500万円
39,株式会社ライズサービス | 「注目の西日本ベンチャー100」に選出／月給40万円超も目指せる,【エンジニア】※年休120日＆残業もほぼナシ！★受託案件増加中 正社員,正社員,500万円～850万円
40,株式会社スティビィー | 代表略歴<NEC系のSIer⇒独立系ソフトウェアハウス⇒独立・起業>,【ITエンジニア】★代表の経歴・人柄が入社の決め手となるかも？ 正社員,正社員,252万円～450万円
41,TSRソリューションズ株式会社 | 設立以来11期連続黒字経営！20～40代活躍中◎自社内開発,"【開発エンジニア】DX,AI,5Gなど先端技術の自社開発！ 正社員",正社員,350万円～910万円
42,日本盾安国際株式会社 | 中国上場企業出資会社｜初年度年収400万円以上可能,世界で圧倒的シェアを誇る冷媒サイクル部品を扱う【ルート営業】 正社員,正社員,
43,株式会社マリノ | 《25年連続黒字経営》☆残業時間20％削減／有給取得率70％以上！,【ITエンジニア（Web／組込／インフラ）】☆20～30代活躍中！ 正社員,正社員,400万円～600万円
44,TSRソリューションズ株式会社 | 設立以来12期連続黒字経営！20～40代活躍中◎スキルUP可能★,【インフラエンジニア】リモート環境や監視Sol商品等の自社開発 正社員,正社員,350万円～910万円
45,興国インテック株式会社 | 新工場＆新独身寮を建設中！福利厚生充実《昼食補助・社宅制度》,医療系ゴム部品の【生産技術】年休120日/ワークライフバランス◎ 正社員,正社員,400万円～650万円
46,株式会社トゥインクル,【ITエンジニア】月給35万円以上／年間休日125日以上 正社員,正社員,420万円～600万円
47,フジモト株式会社 | 年休127日＆残業月20時間以下／未経験の方も歓迎♪,【テクニカルサポート】福岡勤務／コールセンター経験者優遇 正社員,正社員,250万円～350万円
48,株式会社エフィックラボ | 未経験でも月給24万円以上／自社パッケージソフト「Simpflex」,【 ITエンジニア（完全自社内開発）】※未経験の方も歓迎 正社員,正社員,350万円～700万円
49,株式会社フォーラム・サイエンス | ☆直近1年の定着率98％以上！エンジニアが笑顔で働ける環境☆,【ITエンジニア】*年間休日125日以上*賞与平均5ヶ月(昨年度実績) 正社員,正社員,300万円～760万円
50,株式会社マトリックス | 大阪府緊急雇用対策に賛同/年休120日超/フレックスタイム制あり,アクティブ型ＩＣタグでは業界トップ級！優良企業の【反響営業】 正社員,正社員,
51,東栄電業株式会社 | 官公庁が取引先！岐阜の優良企業！◆年間休日120日◆転勤なし,未経験OK★ 電気設備の【 設置・メンテナンススタッフ 】 正社員,正社員,350万円～450万円
