,キャッチコピー,ステータス,企業名,初年度年収
34,上流比率75%の【ITエンジニア】★PM/PL・上流SE候補★経験者募集 正社員,正社員,株式会社テクノプロ　テクノプロ・デザイン社 | 【東証一部】◆取引先861社◆WEB面接OK◆定着率93.5%,530万円～1000万円
35,【Webアプリケーション開発】50代活躍中*賞与年3回*再雇用制度有 正社員,正社員,株式会社テクノプロ　テクノプロ・デザイン社 | 【東証一部】◆年休123日◆退職金制度有◆残業月20H程度,350万円～600万円
36,【開発エンジニア/インフラ設計・構築】定着率95％★有給消化92% 正社員,正社員,株式会社キーワードジャパン | 【健康優良企業認定】創業から30年間、無借金の黒字経営継続中,350万円～800万円
37,◆中部圏限定採用【初級ITエンジニア】※未経験・第二新卒歓迎！ 正社員,正社員,株式会社アイエスエフネット | 《 育成枠採用をSTART！ 》★残業平均月7.4h ★年間休日125日,294万円～600万円
38,営業経験者必見！提案の面白さを存分に味わえる【法人営業】 正社員,正社員,Ronkジャパン株式会社 | 年間休日122日(昨年度実績)／土日＋祝日休み／残業ほぼナシ,400万円～600万円
39,完全週休2日制◎リゾート専門自社システムの【企画営業】 正社員,正社員,新日本コンピュータサービス株式会社 | 業績も堅調に推移！／年間休日117日／残業月20h程度,300万円～450万円
40,スマホアプリの【開発ディレクター】★未経験OK★原則定時退社 正社員,正社員,株式会社クリエイテラ | 【コロナ禍でも過去最高益のアプリ開発専門会社】,350万円～800万円
41,ITでお客様の課題を解決【ソリューション営業】第二新卒歓迎！ 正社員,正社員,株式会社システムオリジン | 業界シェアトップクラスの自社システム／年間休日120日以上,300万円～420万円
42,【システムエンジニア】ITコンサル、PM、先端技術(AI、IoT等) 正社員,正社員,富士通株式会社,
43,【ソリューション営業】金融、官公庁、社会基盤、製造、流通など 正社員,正社員,富士通株式会社,
44,★未経験歓迎＆若手活躍中★　セキュリティ印刷物の【品質管理】 正社員,正社員,株式会社ジャストワーク | 完全週休2日制・土日祝休み・産休育休制度も完備（実績あり）,
45,オーダーメイドで製品づくり！【技術職(加工・プロセス技術)】 正社員,正社員,株式会社サクラテック　 | ≪高い技術力のある切削加工メーカー≫ 約100社と取引実績あり,
46,【品質保証/管理のリーダー候補】*年収450万円以上*前職給与考慮 正社員,正社員,中京フロン株式会社 | ◎11期連続売上UP！◎遠方からの応募も歓迎＼引越し支援等あり／,450万円～800万円
47,教育×ICT×働き方で子どもたちに生きる力を！【ICTサポート】 正社員,正社員,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,250万円～450万円
48,クライアントの通信・IT環境を支える【営業】転勤なし/既存9割 正社員,正社員,株式会社大崎コンピュータエンヂニアリング | 創業67年の老舗企業 ◆ノルマなし ◆土日祝休み ◆若手活躍中,300万円～500万円
49,上場グループでさらにスキルを高める！【経理】*残業ほぼなし 正社員,正社員,株式会社ブライエ | 【JASDAQ上場グループ】34年黒字経営/土日祝休/年休125日以上,380万円～420万円
50,【システムエンジニア】福岡支店新設スペシャル求人◆月35万円～ 正社員,正社員,アクサス株式会社 | インフラ・アプリ開発/新規立上げ/年休125日以上/テレワーク有り,
51,【ITエンジニア】定着率95％/有給消化率92%/経験者は前給保証！ 正社員,正社員,株式会社キーワードジャパン | 【健康優良企業認定】創業から30年間、無借金の黒字経営継続中,350万円～800万円
52,【自社SaaSプロダクトリーダー】月給40万円～☆年休125日 正社員,正社員,TSRソリューションズ株式会社 | 設立以来12期連続黒字経営！20～40代活躍中◎自社内開発,500万円～1000万円
53,【ITサポート職】ワクワクしながら働きたい方、必見！※高卒以上 正社員,正社員,株式会社ブライエ | 34年連続黒字経営／ワクワク経営,350万円～430万円
54,【ＩＴエンジニア】WEB面談　前給考慮　インフラエンジニア募集 正社員,正社員,株式会社ティー・アール・シー | 【技術者ファースト】取引先は、官公庁、大学、JAXA等の研究機関,
55,【ITエンジニア】土日祝休み♪プライベートとの両立も◎！ 正社員,正社員,株式会社第一コンピュータサービス | 教育体制充実◎経験の浅い方も歓迎◎マイナビ転職フェア横浜出展,350万円～550万円
56,日系大手ITグループ企業での【プロジェクトマネージャー】 正社員,正社員,FUJITSU (MALAYSIA) SDN BHD,
57,未経験OK！自社内開発100％！スマホアプリ開発【プログラマー】 正社員,正社員,株式会社クリエイテラ | 【コロナ禍でも過去最高益のアプリ開発専門会社】原則定時退社！,350万円～800万円
